Date,Open,High,Low,Close,Volume,EU_Trend,Price
15/12/2011,154.740005,154.949997,151.710007,OPEN,21521900,1,105.09
16/12/2011,154.309998,155.369995,153.899994,CLOSE,18124300,1,103.35
19/12/2011,155.479996,155.860001,154.360001,OPEN,12547200,0,103.64
20/12/2011,156.820007,157.429993,156.580002,OPEN,9136300,1,106.73
21/12/2011,156.979996,157.529999,156.130005,OPEN,11996100,0,107.71
22/12/2011,156.350006,156.800003,155.330002,OPEN,9888400,1,107.89
23/12/2011,156.350006,156.490005,155.820007,OPEN,3565100,0,107.96
27/12/2011,155.080002,155.550003,154.539993,OPEN,4918600,1,109.27
28/12/2011,154.050003,154.259995,150.660004,OPEN,16436100,0,107.56
29/12/2011,149.089996,150.720001,148.270004,OPEN,19812200,1,108.01
30/12/2011,152.139999,153.75,151.789993,OPEN,10852700,0,107.38
03/01/2012,154.759995,156.300003,154.550003,OPEN,13385800,1,112.13
04/01/2012,155.429993,157.380005,155.339996,OPEN,11549700,0,113.7
05/01/2012,155.369995,158.029999,155.25,OPEN,11621600,0,112.74
06/01/2012,158.589996,158.630005,156.380005,OPEN,9790500,0,113.06
09/01/2012,157.360001,157.589996,156.190002,OPEN,8771900,1,112.45
10/01/2012,158.970001,159.470001,158.470001,OPEN,8371400,1,113.28
11/01/2012,159.339996,160.050003,158.910004,OPEN,7968500,0,112.24
12/01/2012,161.020004,161.619995,159.830002,OPEN,8602500,1,111.26
13/01/2012,159.320007,159.589996,158.009995,OPEN,8910300,0,110.44
17/01/2012,161.169998,161.649994,160.419998,OPEN,8313300,1,111.53
18/01/2012,159.940002,161.639999,159.679993,OPEN,9341200,1,110.66
19/01/2012,160.960007,161.449997,160.330002,OPEN,8114200,1,111.55
20/01/2012,160.5,162.089996,160,OPEN,11616700,0,109.86
23/01/2012,162.320007,163.470001,162.320007,OPEN,8832100,1,110.58
24/01/2012,161.809998,162.369995,161.529999,OPEN,7502100,0,110.03
25/01/2012,161.070007,166.550003,160.289993,OPEN,28957700,1,109.81
27/01/2012,167.440002,169,167.410004,OPEN,13030100,1,111.46
30/01/2012,168.190002,168.539993,167.740005,OPEN,8438000,0,110.75
31/01/2012,169.770004,169.860001,167.720001,OPEN,11192500,0,110.98
01/02/2012,169.75,170.179993,169.080002,OPEN,7734200,1,111.56
02/02/2012,169.960007,171.229996,169.679993,OPEN,11509600,0,112.07
03/02/2012,169.880005,170.139999,167.509995,OPEN,23355300,0,114.58
06/02/2012,166.960007,167.679993,166.610001,OPEN,8807400,0,115.93
07/02/2012,167.380005,170.089996,167.149994,OPEN,11614300,1,116.23
08/02/2012,169.259995,169.960007,167.5,OPEN,10655500,0,117.2
09/02/2012,170.009995,170.369995,167.669998,CLOSE,16085200,1,118.59
10/02/2012,166.490005,167.639999,166.330002,CLOSE,10326800,0,117.31
13/02/2012,167.330002,167.940002,166.740005,CLOSE,7088900,1,117.93
14/02/2012,167.649994,167.929993,166.419998,CLOSE,7862500,0,118.16
15/02/2012,168.630005,168.75,167.190002,CLOSE,11638500,0,118.93
16/02/2012,166.330002,168.139999,166.169998,CLOSE,10734000,1,120.11
17/02/2012,168.289993,168.330002,166.869995,CLOSE,7286900,1,119.58
21/02/2012,169.649994,171.070007,169.589996,CLOSE,13611200,1,121.66
22/02/2012,170.399994,173.169998,170.190002,CLOSE,16676500,1,122.9
23/02/2012,172.690002,173.770004,172.279999,CLOSE,11654200,1,123.62
24/02/2012,172.630005,173.039993,172,CLOSE,9293700,1,125.47
27/02/2012,172.139999,172.919998,171.580002,CLOSE,7340900,0,124.17
28/02/2012,172.839996,174,172.600006,CLOSE,12413000,1,121.55
29/02/2012,173.190002,173.589996,164,CLOSE,44149000,0,122.66
01/03/2012,166.100006,167.720001,165.75,CLOSE,19200700,0,126.2
02/03/2012,166.229996,166.830002,165.630005,CLOSE,9298100,0,123.65
05/03/2012,165.770004,165.910004,164.550003,CLOSE,12071400,1,123.8
06/03/2012,162.149994,162.809998,161.779999,CLOSE,15533200,0,121.98
07/03/2012,162.759995,164.020004,162.509995,CLOSE,9553300,1,124.12
08/03/2012,164.740005,165.550003,164.050003,CLOSE,8858200,1,125.44
09/03/2012,163.639999,166.570007,163.25,CLOSE,13698200,0,125.98
12/03/2012,165.330002,165.580002,164.399994,CLOSE,6523800,1,125.34
13/03/2012,163.940002,165.410004,161.429993,CLOSE,20047000,0,126.22
14/03/2012,159.610001,160.580002,158.800003,CLOSE,28822100,0,124.97
15/03/2012,159.729996,161.979996,159.279999,CLOSE,12689300,1,123.55
16/03/2012,160.080002,161.539993,159.919998,CLOSE,12549200,1,125.81
19/03/2012,160.850006,162.300003,160.720001,CLOSE,9920800,1,125.71
20/03/2012,160.199997,161.080002,159.770004,CLOSE,11643700,0,124.12
21/03/2012,160.630005,161.479996,160.149994,CLOSE,6672700,0,124.2
22/03/2012,158.199997,159.710007,158.130005,CLOSE,11107700,0,123.14
23/03/2012,160.880005,161.880005,160.520004,CLOSE,10689000,1,125.13
26/03/2012,163.169998,164.539993,162.949997,CLOSE,13226700,1,125.65
27/03/2012,164.520004,164.889999,163.130005,CLOSE,10908700,0,125.54
28/03/2012,162.710007,162.979996,160.660004,CLOSE,11008200,0,124.16
29/03/2012,161.139999,161.460007,159.809998,CLOSE,11026900,0,122.39
30/03/2012,161.669998,162.330002,161.220001,CLOSE,7534000,1,122.88
02/04/2012,161.960007,163.559998,161.809998,CLOSE,7541700,0,125.43
03/04/2012,163.229996,163.229996,159.169998,CLOSE,16822300,0,124.86
04/04/2012,157.699997,158.029999,156.580002,CLOSE,15975600,0,122.34
05/04/2012,157.869995,158.679993,157.779999,CLOSE,8967700,0,123.43
09/04/2012,159.720001,160.009995,158.910004,CLOSE,8245800,1,122.67
10/04/2012,159.660004,161.580002,158.470001,CLOSE,14288500,0,119.88
11/04/2012,161.199997,161.539993,160.740005,CLOSE,10005400,1,120.18
12/04/2012,160.740005,163.199997,160.460007,CLOSE,9229900,1,121.71
13/04/2012,162.449997,162.460007,160.169998,CLOSE,10041000,0,121.83
16/04/2012,160.509995,161.179993,159.529999,CLOSE,6670500,1,118.68
17/04/2012,160.539993,160.960007,158.75,CLOSE,7587100,0,118.78
18/04/2012,159.490005,160.119995,159.070007,CLOSE,7463000,0,117.97
19/04/2012,160,160.639999,159.020004,CLOSE,9914400,1,118
20/04/2012,159.25,159.910004,159.199997,CLOSE,9148800,1,118.76
23/04/2012,158.199997,159.179993,157.880005,CLOSE,8876800,0,118.71
24/04/2012,159.630005,160.179993,159.289993,CLOSE,5200600,1,118.16
25/04/2012,159.479996,159.960007,157.759995,CLOSE,15093700,1,119.12
26/04/2012,160.460007,161.380005,160.100006,CLOSE,10918700,0,119.92
27/04/2012,161.779999,161.970001,161.149994,CLOSE,8906600,1,119.83
30/04/2012,160.490005,161.880005,160.309998,CLOSE,8007300,0,119.47
01/05/2012,162.089996,162.179993,160.889999,CLOSE,7414800,0,119.66
02/05/2012,160.740005,160.779999,159.759995,OPEN,5632300,0,118.2
03/05/2012,159.160004,159.479996,158.369995,CLOSE,13172000,0,116.08
04/05/2012,158.820007,159.979996,158.570007,OPEN,11389600,0,113.18
07/05/2012,159.309998,159.339996,158.449997,CLOSE,4927800,0,113.16
08/05/2012,156.610001,156.729996,154.919998,OPEN,17852300,0,112.73
09/05/2012,154.100006,154.979996,153.600006,CLOSE,13864000,0,113.2
10/05/2012,155.160004,155.570007,154.639999,OPEN,7460100,1,112.73
11/05/2012,153.440002,154.470001,153.240005,CLOSE,8285600,0,112.26
14/05/2012,151.580002,152.029999,151,OPEN,13388200,0,111.57
15/05/2012,151.160004,151.440002,149.630005,CLOSE,13354500,0,112.24
16/05/2012,149.479996,150.699997,148.600006,OPEN,16750700,0,111.71
17/05/2012,150.830002,153.399994,150.380005,CLOSE,18080700,0,107.49
18/05/2012,154.460007,155.130005,153.970001,OPEN,12994200,1,107.14
21/05/2012,154.110001,154.949997,153.860001,OPEN,7542400,1,108.81
22/05/2012,153.589996,154.419998,151.550003,CLOSE,11302700,0,108.41
23/05/2012,151.5,151.839996,148.839996,OPEN,18854500,0,105.56
24/05/2012,152.710007,152.910004,150.619995,CLOSE,9697100,0,106.55
25/05/2012,151.889999,152.850006,151.630005,OPEN,6212900,0,106.83
29/05/2012,153.470001,153.619995,150.25,CLOSE,11243100,0,106.68
30/05/2012,149.740005,152.380005,148.529999,OPEN,16764800,0,103.47
31/05/2012,152.029999,152.710007,150.619995,CLOSE,10114300,0,101.87
01/06/2012,155.410004,158.309998,154.869995,OPEN,27399400,1,98.43
04/06/2012,157.259995,157.440002,156.160004,CLOSE,11462100,1,98.85
05/06/2012,156.919998,157.270004,156.419998,OPEN,8095300,0,98.84
06/06/2012,158.899994,159.199997,156.589996,CLOSE,15771600,1,100.64
07/06/2012,157.820007,157.839996,153.190002,OPEN,18921600,0,99.93
08/06/2012,153.020004,154.830002,153,OPEN,11074800,0,99.47
11/06/2012,154.830002,155.399994,153.550003,CLOSE,9166600,0,98
12/06/2012,155.490005,157.039993,155.449997,OPEN,13241100,1,97.14
13/06/2012,157.610001,157.649994,156.419998,CLOSE,10109800,1,97.13
14/06/2012,157.639999,157.940002,156.240005,OPEN,11502400,1,97.03
15/06/2012,157.75,158.460007,157.419998,CLOSE,13099300,1,97.61
18/06/2012,157.460007,158.210007,156.539993,OPEN,6733000,0,96.05
19/06/2012,158,158.139999,156.970001,CLOSE,6945900,1,95.76
20/06/2012,156,157.369995,154.259995,OPEN,16970200,1,92.69
21/06/2012,153.729996,154.229996,151.800003,CLOSE,14447500,0,89.23
22/06/2012,152.039993,152.699997,151.210007,OPEN,6755200,1,90.98
25/06/2012,152.580002,154.160004,152.25,CLOSE,6183600,0,91.01
26/06/2012,153.029999,153.300003,152.130005,OPEN,6123400,0,93.02
27/06/2012,153.300003,153.449997,152.149994,OPEN,4840700,0,93.5
28/06/2012,151.899994,152.160004,150.149994,CLOSE,8755600,0,91.36
29/06/2012,155.130005,155.949997,154.520004,OPEN,10378200,1,97.8
02/07/2012,154.669998,155.550003,154.339996,CLOSE,3654200,0,97.34
03/07/2012,156.970001,157.720001,156.770004,OPEN,5037700,1,100.68
05/07/2012,155.440002,156.399994,154.449997,CLOSE,5359900,0,100.7
06/07/2012,154.229996,154.490005,152.949997,OPEN,7045700,0,98.19
09/07/2012,153.610001,154.580002,153.429993,CLOSE,4468500,1,100.32
10/07/2012,155.130005,155.179993,151.779999,OPEN,9747900,0,97.97
11/07/2012,152.580002,153.449997,152.020004,CLOSE,6838500,0,100.23
12/07/2012,151.259995,153.070007,150.850006,OPEN,11394800,0,101.07
13/07/2012,153.449997,154.940002,153.440002,CLOSE,5080300,1,102.4
16/07/2012,154.429993,154.75,153.979996,OPEN,5710900,1,103.55
17/07/2012,154.009995,154.5,152.449997,OPEN,13021800,1,104
